연번,호선,시점역,종점역,역간거리(m)
1,1,서울역,시청,"1,155 "
2,1,시청,종각,"1,048 "
3,1,종각,종로3가,780 
4,1,종로3가,종로5가,870 
5,1,종로5가,동대문,818 
6,1,동대문,동묘앞,570 
7,1,동묘앞,신설동,713 
8,1,신설동,제기동,942 
9,1,제기동,청량리,944 
10,2,시청,을지로입구,690 
11,2,을지로입구,을지로3가,760 
12,2,을지로3가,을지로4가,641 
13,2,을지로4가,동대문역사문화공원,"1,016 "
14,2,동대문역사문화공원,신당,939 
15,2,신당,상왕십리,875 
16,2,상왕십리,왕십리,850 
17,2,왕십리,한양대,988 
18,2,한양대,뚝섬,"1,083 "
19,2,뚝섬,성수,826 
20,2,성수,건대입구,"1,249 "
21,2,건대입구,구의,"1,577 "
22,2,구의,강변,924 
23,2,강변,잠실나루,"1,796 "
24,2,잠실나루,잠실,"1,040 "
25,2,잠실,잠실새내,"1,217 "
26,2,잠실새내,종합운동장,"1,180 "
27,2,종합운동장,삼성,973 
28,2,삼성,선릉,"1,332 "
29,2,선릉,역삼,"1,203 "
30,2,역삼,강남,775 
31,2,강남,교대,"1,247 "
32,2,교대,서초,693 
33,2,서초,방배,"1,646 "
34,2,방배,사당,"1,561 "
35,2,사당,낙성대,"1,667 "
36,2,낙성대,서울대입구,"1,048 "
37,2,서울대입구,봉천,984 
38,2,봉천,신림,"1,148 "
39,2,신림,신대방,"1,769 "
40,2,신대방,구로디지털단지,"1,107 "
41,2,구로디지털단지,대림,"1,120 "
42,2,대림,신도림,"1,765 "
43,2,신도림,문래,"1,225 "
44,2,문래,영등포구청,865 
45,2,영등포구청,당산,"1,157 "
46,2,당산,합정,"2,026 "
47,2,합정,홍대입구,"1,074 "
48,2,홍대입구,신촌(지하),"1,319 "
49,2,신촌(지하),이대,834 
50,2,이대,아현,918 
51,2,아현,충정로,792 
52,2,충정로,시청,"1,062 "
53,2,신설동,용두,"1,172 "
54,2,용두,신답,883 
55,2,신답,용답,947 
56,2,용답,성수,"2,295 "
57,2,신도림,도림천,"1,023 "
58,2,도림천,양천구청,"1,659 "
59,2,양천구청,신정네거리,"1,899 "
60,2,신정네거리,까치산,"1,381 "
61,3,지축,구파발,"1,604 "
62,3,구파발,연신내,"1,993 "
63,3,연신내,불광,"1,319 "
64,3,불광,녹번,"1,110 "
65,3,녹번,홍제,"1,591 "
66,3,홍제,무악재,890 
67,3,무악재,독립문,"1,092 "
68,3,독립문,경복궁,"1,574 "
69,3,경복궁,안국,"1,076 "
70,3,안국,종로3가,"1,041 "
71,3,종로3가,을지로3가,625 
72,3,을지로3가,충무로,626 
73,3,충무로,동대입구,991 
74,3,동대입구,약수,767 
75,3,약수,금호,811 
76,3,금호,옥수,728 
77,3,옥수,압구정,"1,966 "
78,3,압구정,신사,"1,510 "
79,3,신사,잠원,891 
80,3,잠원,고속터미널,"1,223 "
81,3,고속터미널,교대,"1,633 "
82,3,교대,남부터미널,922 
83,3,남부터미널,양재,"1,737 "
84,3,양재,매봉,"1,161 "
85,3,매봉,도곡,876 
86,3,도곡,대치,808 
87,3,대치,학여울,764 
88,3,학여울,대청,937 
89,3,대청,일원,"1,148 "
90,3,일원,수서,"1,777 "
91,3,수서,가락시장,"1,436 "
92,3,가락시장,경찰병원,777 
93,3,경찰병원,오금,851 
94,4,당고개,상계,"1,210 "
95,4,상계,노원,"1,040 "
96,4,노원,창동,"1,433 "
97,4,창동,쌍문,"1,347 "
98,4,쌍문,수유,"1,456 "
99,4,수유,미아,"1,350 "
100,4,미아,미아삼거리,"1,525 "
101,4,미아삼거리,길음,"1,249 "
102,4,길음,성신여대,"1,431 "
103,4,성신여대,한성대,"1,014 "
104,4,한성대,혜화,921 
105,4,혜화,동대문,"1,487 "
106,4,동대문,동대문역사문화공원,732 
107,4,동대문역사문화공원,충무로,"1,265 "
108,4,충무로,명동,724 
109,4,명동,회현,734 
110,4,회현,서울역,840 
111,4,서울역,숙대입구,994 
112,4,숙대입구,삼각지,"1,230 "
113,4,삼각지,신용산,668 
114,4,신용산,이촌,"1,259 "
115,4,이촌,동작,"2,677 "
116,4,동작,총신대입구,"1,781 "
117,4,총신대입구,사당,"1,157 "
118,4,사당,남태령,"1,560 "
119,5,방화 ,개화산,878 
120,5,개화산,김포공항,"1,228 "
121,5,김포공항,송? 정,"1,209 "
122,5,송? 정,마? 곡,"1,120 "
123,5,마? 곡,발? 산,"1,232 "
124,5,발? 산,우장산,"1,082 "
125,5,우장산,화? 곡,985 
126,5,화? 곡,까치산,"1,207 "
127,5,까치산,신? 정,"1,313 "
128,5,신? 정,목? 동,755 
129,5,목? 동,오목교,881 
130,5,오목교,양? 평,"1,053 "
131,5,양? 평,영등포구청,805 
132,5,영등포구청,영등포시장,895 
133,5,영등포시장,신? 길,"1,091 "
134,5,신? 길,여의도,943 
135,5,여의도,여의나루,983 
136,5,여의나루,마? 포,"1,778 "
137,5,마? 포,공? 덕,812 
138,5,공? 덕,애오개,"1,076 "
139,5,애오개,충정로,938 
140,5,충정로,서대문,690 
141,5,서대문,광화문,"1,126 "
142,5,광화문,종로3가,"1,232 "
143,5,종로3가,을지로4가,"1,003 "
144,5,을지로4가,동대문역사문화공원,923 
145,5,동대문역사문화공원,청? 구,902 
146,5,청? 구,신금호,918 
147,5,신금호,행? 당,819 
148,5,행? 당,왕십리,917 
149,5,왕십리,마? 장,721 
150,5,마? 장,답십리,958 
151,5,답십리,장한평,"1,221 "
152,5,장한평,군? 자,"1,461 "
153,5,군? 자,아차산,"1,045 "
154,5,아차산,광나루,"1,495 "
155,5,광나루,천? 호,"2,038 "
156,5,천? 호,강? 동,790 
157,5,강? 동,둔? 촌,"1,133 "
158,5,둔? 촌,올림픽공원,"1,373 "
159,5,올림픽공원,방? 이,850 
160,5,방? 이,오? 금,859 
161,5,오? 금,개  롱,855 
162,5,개  롱,거? 여,887 
