"서명","저자","발행처","발행년도","자료유형","소장처","등록일"
"아동문학 .[1] =Children's literature","박선희","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"Visual C++프로그래밍 .[1]","김강현","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"패션마케팅 =Fashion marketing","손미영","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"아동문학 :워크북 : 별책부록 .[2]","박선희 편저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"교육고전의이해 :워크북: 별책부록 .[2]","조화태","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"21세기 패션?소비?문화 =Fishion consumption culture","손미영","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"생화학 =Biochemistry","김동우","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"조리과학 .[1]","김선아","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"가족발달 .[1]","한경혜","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"우리말의 구조","이호권","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"가족생활교육 .[1]","기쁘다","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"한국지리여행 :워크북 : 별책부록 .[2]","유근배 저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"소비자행동론 :워크북: 별책부록 .[2]","라선아 저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"농축산환경학","고한종","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"한국 지리여행 .[1] =Korea geotravel","유근배 저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"원예작물학 .1-[1] 채소","최은영","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"공공경제학 :워크북 : 별책부록 .[2]","노형규 저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"일본의 기업과 경영 :워크북 : 별책부록 .[2]","정진성","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"고급미시경제론 :워크북 : 별책부록 .[2]","이충기 저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"사회보장법 :워크북 : 별책부록 .[2]","김엘림","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"정보사회와 디지털문화","정준영","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"예술경영과 예술행정","고윤화","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"가족생활교육 :워크북 : 별책부록 .[2]","기쁘다 편저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"공공경제학 .[1] =Public finance","노형규 지음","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"기초 탄탄 중국어 :워크북 : 별책부록 .1-[2]","손정애 편저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"농업생물화학 :워크북 : 별책부록 .[2]","고한종","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"가족발달 :워크북: 별책부록 .[2]","성미애 편저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"데이터베이스 시스템 :워크북: 별책부록 .[2]","정재화 저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"C프로그래밍 :워크북: 별책부록 .[2]","김형근 저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
"형법총론 :워크북 : 별책부록","최정학 편저","한국방송통신대학교출판문화원(KNOU Press)","2020","단행본","서울도서관","20200406"
